EU (28 countries);2000;302599
Belgium;2000;9640
Bulgaria;2000;1939
Czech Republic;2000;6158
Denmark;2000;3980
Germany;2000;45973
Estonia;2000;713
Ireland;2000;3441
Greece;2000;:
Spain;2000;27314
France;2000;62589
Croatia;2000;1931
Italy;2000;44375
Cyprus;2000;1898
Latvia;2000;682
Lithuania;2000;992
Luxembourg;2000;1447
Hungary;2000;3912
Malta;2000;722
Netherlands;2000;10754
Austria;2000;6557
Poland;2000;14296
Portugal;2000;7424
Romania;2000;4431
Slovenia;2000;1025
Slovakia;2000;1296
Finland;2000;7758
Sweden;2000;4112
United Kingdom;2000;27241
Iceland;2000;0
Liechtenstein;2000;16
Norway;2000;2347
Switzerland;2000;2196
Turkey;2000;:
EU (28 countries);2001;297219
Belgium;2001;9322
Bulgaria;2001;2069
Czech Republic;2001;6601
Denmark;2001;3757
Germany;2001;44049
Estonia;2001;587
Ireland;2001;3322
Greece;2001;:
Spain;2001;26990
France;2001;61344
Croatia;2001;2004
Italy;2001;43406
Cyprus;2001;1802
Latvia;2001;968
Lithuania;2001;1125
Luxembourg;2001;1445
Hungary;2001;4171
Malta;2001;1027
Netherlands;2001;9996
Austria;2001;6685
Poland;2001;14218
Portugal;2001;7200
Romania;2001;4377
Slovenia;2001;1007
Slovakia;2001;1417
Finland;2001;7607
Sweden;2001;4042
United Kingdom;2001;26679
Iceland;2001;0
Liechtenstein;2001;15
Norway;2001;2279
Switzerland;2001;2067
Turkey;2001;:
EU (28 countries);2002;284315
Belgium;2002;8640
Bulgaria;2002;2075
Czech Republic;2002;6524
Denmark;2002;3521
Germany;2002;41797
Estonia;2002;657
Ireland;2002;3106
Greece;2002;:
Spain;2002;25307
France;2002;58514
Croatia;2002;2064
Italy;2002;41796
Cyprus;2002;1685
Latvia;2002;986
Lithuania;2002;1160
Luxembourg;2002;1420
Hungary;2002;4337
Malta;2002;992
Netherlands;2002;9404
Austria;2002;6879
Poland;2002;12534
Portugal;2002;6985
Romania;2002;4364
Slovenia;2002;1016
Slovakia;2002;1580
Finland;2002;7453
Sweden;2002;3942
United Kingdom;2002;25576
Iceland;2002;0
Liechtenstein;2002;14
Norway;2002;2224
Switzerland;2002;1971
Turkey;2002;:
EU (28 countries);2003;278983
Belgium;2003;8396
Bulgaria;2003;2560
Czech Republic;2003;6945
Denmark;2003;3490
Germany;2003;38669
Estonia;2003;603
Ireland;2003;2989
Greece;2003;:
Spain;2003;25542
France;2003;56794
Croatia;2003;2262
Italy;2003;40521
Cyprus;2003;1615
Latvia;2003;1032
Lithuania;2003;1168
Luxembourg;2003;1477
Hungary;2003;4477
Malta;2003;965
Netherlands;2003;8862
Austria;2003;6971
Poland;2003;14063
Portugal;2003;6607
Romania;2003;4316
Slovenia;2003;1053
Slovakia;2003;1556
Finland;2003;7263
Sweden;2003;3904
United Kingdom;2003;24882
Iceland;2003;0
Liechtenstein;2003;13
Norway;2003;2191
Switzerland;2003;1952
Turkey;2003;:
EU (28 countries);2004;276210
Belgium;2004;8566
Bulgaria;2004;2808
Czech Republic;2004;6757
Denmark;2004;3374
Germany;2004;38309
Estonia;2004;683
Ireland;2004;3022
Greece;2004;:
Spain;2004;25158
France;2004;54581
Croatia;2004;2376
Italy;2004;39775
Cyprus;2004;1025
Latvia;2004;1062
Lithuania;2004;1273
Luxembourg;2004;1674
Hungary;2004;4523
Malta;2004;946
Netherlands;2004;8456
Austria;2004;6786
Poland;2004;16449
Portugal;2004;6246
Romania;2004;4289
Slovenia;2004;1155
Slovakia;2004;1673
Finland;2004;7079
Sweden;2004;3902
United Kingdom;2004;24263
Iceland;2004;0
Liechtenstein;2004;11
Norway;2004;2183
Switzerland;2004;1932
Turkey;2004;:
EU (28 countries);2005;260970
Belgium;2005;7653
Bulgaria;2005;3041
Czech Republic;2005;6841
Denmark;2005;3270
Germany;2005;36217
Estonia;2005;646
Ireland;2005;2855
Greece;2005;:
Spain;2005;24782
France;2005;48322
Croatia;2005;2443
Italy;2005;36982
Cyprus;2005;708
Latvia;2005;1003
Lithuania;2005;1314
Luxembourg;2005;1704
Hungary;2005;4436
Malta;2005;1003
Netherlands;2005;7971
Austria;2005;6569
Poland;2005;16154
Portugal;2005;5505
Romania;2005;4216
Slovenia;2005;1308
Slovakia;2005;1995
Finland;2005;6947
Sweden;2005;3610
United Kingdom;2005;23473
Iceland;2005;0
Liechtenstein;2005;11
Norway;2005;2256
Switzerland;2005;1991
Turkey;2005;:
EU (28 countries);2006;252136
Belgium;2006;7317
Bulgaria;2006;3019
Czech Republic;2006;6434
Denmark;2006;3231
Germany;2006;34783
Estonia;2006;626
Ireland;2006;2863
Greece;2006;:
Spain;2006;23839
France;2006;46062
Croatia;2006;2609
Italy;2006;33935
Cyprus;2006;662
Latvia;2006;996
Lithuania;2006;1288
Luxembourg;2006;1549
Hungary;2006;4097
Malta;2006;1027
Netherlands;2006;7617
Austria;2006;6137
Poland;2006;18239
Portugal;2006;5383
Romania;2006;4379
Slovenia;2006;1306
Slovakia;2006;1780
Finland;2006;6772
Sweden;2006;3584
United Kingdom;2006;22601
Iceland;2006;0
Liechtenstein;2006;10
Norway;2006;2297
Switzerland;2006;1999
Turkey;2006;:
EU (28 countries);2007;245660
Belgium;2007;6915
Bulgaria;2007;2697
Czech Republic;2007;6321
Denmark;2007;3184
Germany;2007;32277
Estonia;2007;617
Ireland;2007;2880
Greece;2007;:
Spain;2007;23443
France;2007;44086
Croatia;2007;2494
Italy;2007;32470
Cyprus;2007;654
Latvia;2007;992
Lithuania;2007;1513
Luxembourg;2007;1405
Hungary;2007;4016
