Lieu	N° région, département	Série	Unité	1990	1992	1995	1997	1999	2002	2004	2005	2006	2007	2008	2009
ALSACE	42	EN11Consommation totale d'énergie par les transports	ktep	1041.0	1149.0	1180.0	1190.0	1266.0	1261.0	1331.0	1346.0	1343.0	1381.0	1325.0	1297.0
ALSACE	42	EN11Consommation de produits pétroliers dans les transports (hors biocarburants	ktep	1028.0	1136.0	1168.0	1177.0	1252.0	1245.0	1302.0	1317.0	1304.0	1319.0	1237.0	1206.0
ALSACE	42	EN11Consommation de biocarburants dans les transports	ktep	ND	ND	ND	ND	ND	ND	10.0	12.0	22.0	44.0	68.0	73.0
ALSACE	42	EN11Consommation de supercarburants (yc biocarburants) dans les transports	kt	452.0	510.0	458.0	406.0	425.0	400.0	381.0	353.0	327.0	319.0	283.0	274.0
ALSACE	42	EN11Consommation de gazole (yc biocarburants) dans les transports	kt	473.0	571.0	654.0	716.0	770.0	794.0	857.0	910.0	934.0	977.0	958.0	950.0
ALSACE	42	EN11Consommation d'électricité haute tension dans les transports	GWh	146.0	147.0	141.0	158.0	173.0	183.0	217.0	200.0	205.0	206.0	221.0	207.0
ALSACE	42	EN11Consommation d'électricité haute tension dans les transports	ktep	13.0	13.0	12.0	14.0	15.0	16.0	19.0	17.0	18.0	18.0	19.0	18.0
ALSACE	42	EN11Consommation de produits pétroliers pour la pêche	ktep	5.0	5.0	1.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AQUITAINE	72	EN11Consommation totale d'énergie par les transports	ktep	2302.0	2470.0	2424.0	2424.0	2619.0	2802.0	2778.0	2509.0	2575.0	2542.0	2467.0	2455.0
AQUITAINE	72	EN11Consommation de produits pétroliers dans les transports (hors biocarburants	ktep	2280.0	2447.0	2403.0	2402.0	2597.0	2778.0	2730.0	2460.0	2509.0	2437.0	2316.0	2291.0
AQUITAINE	72	EN11Consommation de biocarburants dans les transports	ktep	ND	ND	ND	ND	ND	ND	21.0	22.0	39.0	78.0	123.0	136.0
AQUITAINE	72	EN11Consommation de supercarburants (yc biocarburants) dans les transports	kt	1047.0	994.0	880.0	789.0	806.0	732.0	641.0	561.0	532.0	498.0	462.0	461.0
AQUITAINE	72	EN11Consommation de gazole (yc biocarburants) dans les transports	kt	1043.0	1267.0	1381.0	1465.0	1642.0	1897.0	1900.0	1710.0	1762.0	1803.0	1778.0	1822.0
AQUITAINE	72	EN11Consommation d'électricité haute tension dans les transports	GWh	252.0	263.0	247.0	261.0	260.0	276.0	315.0	315.0	314.0	315.0	324.0	324.0
