EU (28 countries);2000;14,4
Belgium;2000;14,5
Bulgaria;2000;
Czech Republic;2000;
Denmark;2000;
Germany;2000;
Estonia;2000;
Ireland;2000;
Greece;2000;
Spain;2000;
France;2000;
Croatia;2000;
Italy;2000;
Cyprus;2000;
Latvia;2000;
Lithuania;2000;
Luxembourg;2000;
Hungary;2000;
Malta;2000;
Netherlands;2000;
Austria;2000;
Poland;2000;
Portugal;2000;
Romania;2000;
Slovenia;2000;
Slovakia;2000;
Finland;2000;
Sweden;2000;
United Kingdom;2000;14,3
Iceland;2000;
Norway;2000;
Switzerland;2000;17,2
EU (28 countries);2001;14,4
Belgium;2001;14,3
Bulgaria;2001;
Czech Republic;2001;
Denmark;2001;
Germany;2001;
Estonia;2001;
Ireland;2001;
Greece;2001;
Spain;2001;
France;2001;20,7
Croatia;2001;
Italy;2001;
Cyprus;2001;
Latvia;2001;
Lithuania;2001;
Luxembourg;2001;
Hungary;2001;
Malta;2001;
Netherlands;2001;
Austria;2001;
Poland;2001;
Portugal;2001;
Romania;2001;
Slovenia;2001;
Slovakia;2001;
Finland;2001;8,2
Sweden;2001;
United Kingdom;2001;13,1
Iceland;2001;
Norway;2001;
Switzerland;2001;18,1
EU (28 countries);2002;14,6
Belgium;2002;14,5
Bulgaria;2002;
Czech Republic;2002;
Denmark;2002;
Germany;2002;
Estonia;2002;
Ireland;2002;
Greece;2002;
Spain;2002;
France;2002;15,8
Croatia;2002;
Italy;2002;
Cyprus;2002;
Latvia;2002;
Lithuania;2002;
Luxembourg;2002;
Hungary;2002;
Malta;2002;
Netherlands;2002;
Austria;2002;
Poland;2002;
Portugal;2002;
Romania;2002;
Slovenia;2002;
Slovakia;2002;
Finland;2002;8,8
Sweden;2002;
United Kingdom;2002;13,7
Iceland;2002;
Norway;2002;
Switzerland;2002;19,5
EU (28 countries);2003;14,9
Belgium;2003;15,2
Bulgaria;2003;
Czech Republic;2003;
Denmark;2003;
Germany;2003;17,7
Estonia;2003;
Ireland;2003;
Greece;2003;
Spain;2003;
France;2003;15,6
Croatia;2003;
Italy;2003;
Cyprus;2003;
