vehicle,unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CAR,P_THAB,NO04	477 	475 	471 	466 	459 	437 	449 	446 	435 	427 	419 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,NO05	467 	463 	458 	453 	447 	435 	450 	445 	432 	421 	411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,NO06	485 	484 	480 	476 	472 	450 	461 	456 	444 	437 	429 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,NO07	484 	478 	472 	463 	454 	432 	438 	431 	418 	408 	400 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,PL	526 	510 	492 	476 	453 	434 	422 	383 	351 	323 	314 	294 	289 	275 	261 	243 	230 	221 e	208 e	195 e	185 	176 	169 	160 	138 
CAR,P_THAB,PL1	559 	541 	523 	506 	484 	466 	460 	418 	382 	351 	339 	323 	313 	298 	280 	273 	262 	258 e	250 e	234 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL11	528 	511 	492 	477 	451 	430 	412 	373 	341 	315 	309 	293 	282 	276 	265 	239 	239 	221 e	210 e	193 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL12	573 	555 	538 	521 	500 	483 	484 	440 	402 	369 	354 	339 	329 	309 	288 	291 	274 	278 e	271 e	255 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL2	508 	495 	479 	464 	442 	423 	408 	375 	347 	323 	306 	290 	293 	281 	263 	251 	234 	220 e	207 e	195 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL21	500 	487 	472 	456 	437 	419 	408 	376 	348 	324 	307 	291 	307 	292 	257 	246 	231 	216 e	199 e	187 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL22	514 	500 	483 	469 	445 	425 	409 	374 	346 	322 	304 	290 	283 	274 	267 	255 	236 	223 e	211 e	200 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL3	481 	465 	449 	434 	412 	393 	379 	346 	319 	296 	278 	255 	251 	240 	233 	221 	193 	182 e	170 e	159 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL31	498 	480 	461 	443 	420 	398 	383 	347 	319 	295 	277 	262 	253 	247 	242 	224 	202 	192 e	176 e	159 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL32	472 	456 	440 	426 	404 	386 	372 	343 	320 	299 	278 	249 	237 	229 	226 	222 	197 	185 e	172 e	164 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL33	489 	475 	460 	446 	426 	406 	394 	354 	322 	294 	278 	256 	251 	265 	249 	240 	187 	173 e	169 e	162 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL34	459 	445 	432 	419 	399 	383 	366 	340 	315 	293 	279 	254 	269 	221 	214 	191 	178 	169 e	156 e	147 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL4	556 	538 	519 	503 	477 	458 	449 	404 	369 	340 	345 	322 	313 	299 	286 	267 	250 	239 e	226 e	210 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL41	585 	568 	550 	535 	510 	492 	484 	438 	403 	374 	386 	365 	352 	334 	313 	306 	280 	269 e	257 e	241 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL42	498 	480 	461 	445 	419 	400 	384 	337 	300 	269 	276 	257 	255 	245 	243 	213 	208 	198 e	186 e	174 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL43	554 	535 	513 	493 	465 	444 	437 	403 	372 	345 	324 	288 	283 	270 	268 	231 	220 	208 e	193 e	173 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL5	554 	536 	515 	496 	468 	446 	427 	390 	358 	329 	303 	282 	282 	269 	257 	201 	216 	213 e	201 e	185 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL51	541 	523 	502 	483 	455 	434 	420 	381 	348 	319 	291 	273 	276 	264 	252 	187 	213 	211 e	198 e	184 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL52	590 	575 	555 	536 	507 	484 	448 	414 	385 	357 	337 	308 	299 	284 	268 	241 	224 	221 e	208 e	190 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL6	510 	493 	475 	459 	437 	418 	406 	361 	329 	298 	307 	287 	273 	253 	243 	217 	214 	204 e	188 e	175 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL61	516 	501 	483 	467 	446 	426 	411 	355 	320 	288 	304 	287 	281 	254 	256 	237 	228 	215 e	203 e	187 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL62	474 	458 	441 	426 	405 	386 	370 	332 	302 	263 	270 	245 	239 	210 	155 	144 	183 	173 e	164 e	153 e	: 	: 	: 	: 	: 
CAR,P_THAB,PL63	526 	508 	490 	473 	450 	432 	424 	386 	354 	330 	334 	314 	289 	280 	288 	247 	223 	214 e	191 e	179 e	: 	: 	: 	: 	: 
CAR,P_THAB,PT	: 	415 	406 	447 	444 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,PT1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	601 	582 	559 	534 	505 	473 	443 	417 	392 	371 	347 	322 	293 	271 
CAR,P_THAB,PT20	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,PT30	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,RO	247 	235 	224 	216 	214 	209 	197 	172 	152 	158 	151 	143 	137 	132 	124 	120 	115 	109 	103 	97 	89 	79 	70 	63 	: 
CAR,P_THAB,RO1	248 	236 	223 	214 	202 	195 	182 	159 	147 	160 	155 	151 	147 	: 	: 	: 	: 	: 	: 	108 	100 	91 	79 	69 	: 
CAR,P_THAB,RO11	247 	235 	222 	212 	202 	195 	181 	159 	146 	155 	149 	147 	141 	: 	: 	: 	: 	: 	104 	97 	88 	82 	71 	63 	: 
CAR,P_THAB,RO12	250 	238 	225 	215 	201 	195 	182 	160 	149 	165 	162 	156 	153 	: 	: 	: 	: 	: 	128 	120 	112 	101 	88 	76 	: 
CAR,P_THAB,RO2	197 	186 	175 	164 	143 	137 	127 	112 	102 	112 	110 	106 	102 	: 	: 	: 	: 	: 	: 	68 	61 	51 	44 	39 	: 
CAR,P_THAB,RO21	177 	167 	157 	148 	127 	120 	109 	96 	87 	94 	89 	84 	81 	: 	: 	: 	: 	: 	59 	53 	48 	42 	37 	32 	: 
CAR,P_THAB,RO22	222 	211 	198 	186 	164 	159 	149 	134 	122 	136 	138 	133 	129 	: 	: 	: 	: 	: 	98 	88 	78 	61 	52 	48 	: 
CAR,P_THAB,RO3	306 	294 	285 	281 	279 	283 	278 	244 	216 	202 	187 	174 	165 	: 	: 	: 	: 	: 	: 	117 	110 	99 	89 	81 	: 
CAR,P_THAB,RO31	201 	191 	181 	172 	163 	158 	149 	132 	118 	126 	122 	117 	112 	: 	: 	: 	: 	: 	96 	88 	82 	72 	64 	58 	: 
CAR,P_THAB,RO32	446 	433 	426 	430 	444 	464 	465 	409 	361 	317 	285 	260 	246 	: 	: 	: 	: 	: 	172 	161 	152 	140 	127 	117 	: 
CAR,P_THAB,RO4	239 	227 	215 	205 	191 	183 	170 	150 	137 	157 	152 	147 	141 	: 	: 	: 	: 	: 	: 	101 	90 	80 	73 	67 	: 
CAR,P_THAB,RO41	216 	205 	192 	183 	168 	161 	151 	135 	122 	132 	127 	123 	118 	: 	: 	: 	: 	: 	92 	85 	77 	69 	64 	56 	: 
CAR,P_THAB,RO42	265 	252 	240 	230 	219 	208 	192 	169 	155 	188 	182 	175 	168 	: 	: 	: 	: 	: 	137 	119 	106 	93 	84 	79 	: 
CAR,P_THAB,SE	470 	466 	465 	464 	460 	460 b	462 	464 	461 	459 	456 	454 	452 	451 	450 	439 	428 	418 	413 	411 	408 	408 	413 	419 	419 
CAR,P_THAB,SE1	428 	424 	424 	423 	421 	422 b	426 	428 	: 	427 	426 	424 	423 	420 	417 	404 	391 	381 	376 	374 	371 	372 	378 	387 	389 
CAR,P_THAB,SE11	393 	389 	390 	391 	390 	392 b	399 	402 	: 	402 	403 	401 	399 	397 	393 	377 	361 	352 	345 	344 	342 	343 	351 	361 	366 
CAR,P_THAB,SE12	475 	470 	469 	466 	462 	460 b	460 	462 	: 	458 	454 	452 	453 	448 	447 	435 	427 	416 	411 	408 	405 	404 	409 	415 	415 
CAR,P_THAB,SE2	481 	477 	476 	475 	471 	470 b	472 	474 	: 	467 	464 	461 	458 	459 	459 	449 	439 	429 	423 	421 	418 	418 	423 	428 	428 
CAR,P_THAB,SE21	524 	518 	515 	512 	506 	503 b	503 	502 	: 	494 	489 	485 	482 	481 	478 	466 	456 	446 	431 	428 	423 	423 	425 	428 	426 
CAR,P_THAB,SE22	475 	473 	470 	469 	467 	467 b	469 	471 	: 	465 	461 	459 	457 	456 	455 	444 	434 	425 	421 	419 	416 	417 	421 	426 	427 
CAR,P_THAB,SE23	467 	463 	464 	464 	460 	458 b	460 	463 	: 	458 	454 	451 	449 	452 	453 	445 	435 	424 	422 	419 	416 	417 	423 	429 	431 
CAR,P_THAB,SE3	539 	533 	529 	525 	518 	517 b	515 	513 	: 	505 	501 	498 	495 	493 	494 	484 	473 	464 	460 	457 	452 	450 	453 	456 	452 
CAR,P_THAB,SE31	544 	538 	535 	531 	525 	523 b	522 	521 	: 	513 	509 	506 	502 	501 	500 	489 	478 	468 	462 	459 	454 	451 	454 	458 	455 
CAR,P_THAB,SE32	544 	537 	533 	530 	524 	523 b	519 	518 	: 	509 	505 	502 	499 	498 	498 	486 	477 	467 	463 	459 	451 	450 	451 	453 	449 
CAR,P_THAB,SE33	527 	520 	516 	511 	504 	501 b	498 	497 	: 	489 	485 	482 	480 	478 	481 	473 	462 	455 	453 	452 	448 	449 	451 	454 	449 
CAR,P_THAB,SI	518 	516 	518 	519 	518 	517 	514 	504 	488 	479 	468 	456 	448 	442 	435 	426 	410 	391 	374 	357 	336 	327 	304 b	302 	294 
CAR,P_THAB,SI0	518 	516 	518 	519 	518 	517 	514 	504 	488 	479 	468 	456 	448 	442 	435 	426 	410 	391 	374 	357 	336 	327 	304 b	302 	294 
CAR,P_THAB,SI03	512 	508 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,SI04	525 	525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,SK	360 	347 	337 	324 	310 	295 	287 	267 	248 	243 	223 	252 	247 	240 	237 	229 	222 	211 	197 	189 	186 	186 	179 	171 	165 
CAR,P_THAB,SK0	360 	347 	337 	324 	310 	295 	287 	267 	248 	243 	223 	252 	247 	240 	237 	229 	222 	211 	197 	189 	186 	186 	179 	171 	165 
CAR,P_THAB,SK01	549 	532 	519 	501 	480 	458 	450 	425 	402 	399 	365 	419 	406 	389 	380 	352 	337 	330 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,SK02	379 	366 	355 	341 	327 	311 	302 	279 	258 	251 	228 	255 	249 	242 	238 	231 	223 	209 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,SK03	326 	315 	305 	293 	279 	266 	257 	237 	219 	213 	195 	221 	217 	211 	209 	203 	197 	184 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,SK04	292 	282 	274 	262 	251 	240 	234 	218 	204 	199 	186 	214 	210 	206 	205 	200 	195 	189 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR	127 	121 	114 	109 	102 	98 	95 	92 	88 	80 	75 	66 	66 	66 	65 	61 	58 	55 	52 	49 	47 	44 	37 	32 	29 
CAR,P_THAB,TR1	158 	152 	145 	140 	137 	137 	139 	136 	132 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR10	158 	152 	145 	140 	137 	137 	139 	136 	132 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR2	133 	127 	118 	110 	102 	94 	89 	84 	79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR21	128 	121 	112 	104 	97 	88 	82 	77 	71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR22	138 	133 	124 	117 	107 	100 	96 	91 	86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR3	147 	141 	133 	127 	118 	113 	111 	107 	101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR31	149 	145 	140 	135 	129 	125 	126 	122 	116 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR32	160 	153 	144 	136 	127 	120 	118 	115 	109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR33	132 	124 	115 	107 	96 	90 	85 	79 	74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR4	127 	120 	113 	106 	99 	93 	90 	88 	83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR41	138 	130 	123 	116 	108 	104 	102 	100 	96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR42	115 	109 	101 	95 	89 	82 	78 	74 	69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR5	196 	189 	181 	174 	166 	161 	157 	152 	144 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR51	223 	217 	209 	202 	194 	191 	188 	184 	175 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR52	136 	129 	123 	115 	106 	98 	92 	87 	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR6	133 	126 	118 	110 	101 	96 	93 	88 	83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR61	175 	167 	160 	152 	141 	138 	135 	130 	122 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR62	123 	116 	109 	101 	93 	87 	84 	80 	76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR63	105 	99 	92 	84 	76 	70 	66 	63 	58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR7	128 	120 	112 	104 	95 	86 	79 	74 	68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR71	129 	120 	110 	101 	91 	79 	71 	66 	61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR72	127 	121 	113 	106 	97 	90 	85 	79 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR8	121 	114 	106 	99 	90 	83 	78 	73 	68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR81	135 	128 	119 	113 	103 	97 	93 	89 	83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR82	128 	119 	113 	105 	94 	82 	74 	69 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR83	114 	106 	99 	92 	84 	77 	73 	68 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR9	82 	77 	71 	66 	60 	56 	53 	51 	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TR90	82 	77 	71 	66 	60 	56 	53 	51 	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRA	49 	47 	44 	41 	38 	35 	33 	31 	29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRA1	74 	71 	66 	61 	56 	52 	48 	45 	43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRA2	26 	24 	23 	22 	21 	19 	18 	17 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRB	46 	44 	41 	39 	37 	35 	33 	32 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRB1	78 	74 	69 	64 	60 	55 	51 	49 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRB2	21 	21 	20 	19 	19 	18 	18 	17 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRC	51 	49 	47 	44 	42 	38 	35 	33 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRC1	89 	84 	78 	73 	67 	62 	59 	56 	51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRC2	40 	40 	40 	38 	36 	32 	30 	28 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,TRC3	21 	21 	20 	19 	19 	17 	15 	15 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,UK	461 	456 	453 	453 	455 	457 	459 	458 	455 	457 	450 	442 	437 	428 	418 	410 	401 	393 	382 	368 	364 	368 	364 	365 	352 
CAR,P_THAB,UKC	409 	403 	400 	400 	400 	402 	403 	399 	395 	395 	386 	373 	363 	352 	341 	331 	322 	312 	304 	291 	287 	: 	: 	: 	: 
CAR,P_THAB,UKC1	433 	427 	424 	423 	421 	423 	423 	419 	414 	414 	404 	391 	380 	367 	357 	348 	340 	331 	320 	308 	305 	: 	: 	: 	: 
CAR,P_THAB,UKC2	389 	384 	381 	381 	383 	385 	386 	382 	379 	379 	371 	359 	348 	339 	328 	317 	308 	297 	291 	278 	273 	: 	: 	: 	: 
CAR,P_THAB,UKD	433 	427 	424 	425 	438 	452 	459 	460 	460 	456 	446 	431 	423 	416 	407 	398 	390 	381 	367 	350 	346 	: 	: 	: 	: 
CAR,P_THAB,UKD1	497 	489 	484 	482 	483 	482 	480 	476 	500 	496 	484 	477 	470 	460 	447 	436 	428 	419 	405 	389 	386 	: 	: 	: 	: 
CAR,P_THAB,UKD3	403 	398 	395 	397 	415 	422 	430 	435 	462 	450 	438 	426 	431 	432 	428 	418 	411 	398 	378 	359 	351 	: 	: 	: 	: 
CAR,P_THAB,UKD4	450 	445 	443 	444 	448 	450 	451 	448 	443 	444 	436 	425 	417 	404 	392 	384 	375 	369 	359 	346 	345 	: 	: 	: 	: 
CAR,P_THAB,UKD6	531 	526 	522 	520 	555 	628 	664 	671 	584 	592 	580 	539 	496 	483 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,UKD7	388 	383 	380 	381 	385 	388 	389 	386 	384 	384 	376 	365 	357 	346 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,UKE	427 	422 	425 	424 	425 	427 	430 	425 	420 	422 	415 	404 	399 	387 	384 	375 	364 	355 	344 	332 	328 	: 	: 	315 	311 
CAR,P_THAB,UKE1	441 	435 	432 	431 	432 	434 	433 	430 	426 	428 	419 	407 	403 	387 	377 	368 	358 	350 	341 	328 	326 	: 	: 	: 	: 
CAR,P_THAB,UKE2	491 	485 	481 	479 	479 	481 	480 	478 	476 	479 	479 	469 	463 	452 	484 	473 	456 	435 	406 	391 	387 	: 	: 	: 	: 
CAR,P_THAB,UKE3	412 	406 	401 	402 	404 	406 	407 	405 	402 	404 	396 	385 	380 	369 	358 	349 	339 	331 	323 	312 	308 	: 	: 	: 	: 
CAR,P_THAB,UKE4	408 	404 	415 	415 	416 	418 	424 	417 	408 	410 	401 	391 	386 	375 	367 	358 	349 	344 	335 	325 	320 	: 	: 	: 	: 
CAR,P_THAB,UKF	488 	481 	476 	476 	477 	478 	481 	477 	472 	475 	464 	460 	455 	443 	434 	419 	410 	401 	391 	377 	375 	: 	: 	341 	340 
CAR,P_THAB,UKF1	460 	456 	451 	451 	452 	453 	455 	454 	450 	452 	442 	435 	429 	420 	411 	401 	393 	385 	375 	361 	360 	: 	: 	: 	: 
CAR,P_THAB,UKF2	510 	501 	495 	494 	496 	498 	502 	495 	488 	492 	481 	482 	479 	465 	457 	432 	426 	414 	402 	390 	384 	: 	: 	: 	: 
CAR,P_THAB,UKF3	514 	509 	506 	505 	504 	504 	505 	504 	500 	502 	492 	481 	474 	461 	449 	439 	428 	422 	412 	400 	399 	: 	: 	: 	: 
CAR,P_THAB,UKG	500 	493 	499 	502 	491 	491 	496 	496 	492 	505 	499 	490 	482 	468 	453 	440 	434 	433 	414 	398 	392 	: 	: 	380 	374 
CAR,P_THAB,UKG1	558 	551 	547 	541 	539 	540 	548 	545 	536 	539 	533 	531 	516 	506 	496 	488 	478 	488 	485 	468 	463 	: 	: 	: 	: 
CAR,P_THAB,UKG2	498 	492 	491 	490 	491 	499 	495 	495 	490 	491 	484 	472 	463 	450 	437 	431 	419 	411 	402 	387 	384 	: 	: 	: 	: 
CAR,P_THAB,UKG3	474 	466 	481 	490 	469 	462 	472 	473 	472 	496 	491 	480 	477 	462 	442 	423 	422 	419 	387 	373 	364 	: 	: 	: 	: 
CAR,P_THAB,UKH	526 	519 	502 	500 	500 	501 	502 	502 	500 	504 	498 	494 	494 	487 	477 	465 	456 	449 	437 	424 	417 	: 	: 	: 	: 
CAR,P_THAB,UKH1	548 	540 	503 	500 	501 	501 	503 	504 	501 	504 	499 	491 	487 	482 	470 	459 	445 	435 	425 	416 	415 	: 	: 	409 	407 
CAR,P_THAB,UKH2	510 	503 	500 	500 	501 	502 	501 	504 	503 	507 	499 	504 	514 	508 	502 	489 	489 	484 	468 	452 	433 	: 	: 	: 	: 
CAR,P_THAB,UKH3	512 	506 	503 	500 	499 	500 	501 	499 	497 	500 	496 	488 	484 	475 	462 	451 	440 	433 	422 	407 	403 	: 	: 	: 	: 
CAR,P_THAB,UKI	300 	301 	303 	308 	314 	319 	329 	333 	335 	339 	337 	334 	335 	335 	332 	334 	334 	333 	334 	326 	329 	: 	: 	: 	: 
CAR,P_THAB,UKJ	547 	540 	535 	530 	534 	533 	531 	529 	526 	527 	520 	513 	509 	499 	488 	478 	468 	456 	443 	427 	425 	: 	: 	: 	: 
CAR,P_THAB,UKJ1	632 	620 	609 	597 	593 	589 	585 	579 	574 	577 	568 	561 	556 	552 	535 	522 	509 	493 	473 	459 	454 	: 	: 	: 	: 
CAR,P_THAB,UKJ2	517 	514 	512 	512 	516 	517 	522 	523 	522 	525 	519 	513 	509 	496 	491 	480 	472 	464 	455 	437 	434 	: 	: 	: 	: 
CAR,P_THAB,UKJ3	542 	535 	529 	524 	542 	540 	524 	523 	519 	515 	505 	497 	494 	482 	475 	468 	458 	440 	425 	410 	412 	: 	: 	: 	: 
CAR,P_THAB,UKJ4	487 	482 	479 	478 	478 	479 	479 	479 	478 	481 	475 	469 	462 	451 	437 	430 	420 	412 	402 	388 	387 	: 	: 	: 	: 
CAR,P_THAB,UKK	541 	532 	527 	524 	521 	518 	515 	512 	509 	512 	508 	502 	500 	493 	483 	471 	458 	446 	438 	416 	413 	: 	: 	401 	397 
CAR,P_THAB,UKK1	571 	556 	549 	545 	536 	531 	524 	519 	516 	521 	520 	522 	524 	525 	516 	500 	485 	469 	463 	435 	429 	: 	: 	: 	: 
CAR,P_THAB,UKK2	533 	526 	523 	522 	523 	524 	523 	522 	519 	521 	515 	504 	500 	489 	479 	471 	460 	449 	440 	422 	422 	: 	: 	: 	: 
CAR,P_THAB,UKK3	513 	507 	505 	505 	507 	507 	507 	505 	503 	506 	500 	488 	477 	461 	446 	438 	424 	416 	407 	389 	389 	: 	: 	: 	: 
CAR,P_THAB,UKK4	504 	500 	494 	493 	493 	492 	490 	489 	485 	485 	479 	468 	462 	451 	439 	429 	418 	410 	398 	382 	381 	: 	: 	: 	: 
CAR,P_THAB,UKL	477 	472 	470 	468 	469 	469 	471 	471 	467 	468 	458 	443 	433 	417 	402 	403 	390 	380 	369 	352 	348 	: 	: 	327 	327 
CAR,P_THAB,UKL1	483 	477 	475 	473 	473 	473 	474 	473 	469 	469 	459 	442 	432 	415 	399 	390 	378 	369 	358 	341 	338 	: 	: 	: 	: 
CAR,P_THAB,UKL2	467 	463 	462 	460 	462 	463 	466 	467 	464 	465 	456 	444 	436 	422 	408 	424 	411 	400 	388 	371 	367 	: 	: 	: 	: 
CAR,P_THAB,UKM	442 	434 	429 	427 	427 	429 	428 	424 	419 	418 	407 	400 	393 	383 	370 	361 	347 	338 	328 	314 	309 	: 	: 	288 	280 
CAR,P_THAB,UKM2	438 	432 	429 	427 	428 	430 	432 	429 	424 	425 	417 	417 	414 	408 	396 	386 	362 	352 	342 	326 	322 	: 	: 	: 	: 
CAR,P_THAB,UKM3	428 	414 	412 	409 	409 	411 	407 	403 	397 	395 	383 	371 	362 	349 	337 	327 	312 	302 	293 	280 	274 	: 	: 	: 	: 
CAR,P_THAB,UKM5	491 	578 	480 	477 	477 	479 	481 	475 	468 	466 	457 	446 	442 	427 	414 	405 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,UKM6	479 	397 	465 	461 	460 	462 	462 	458 	454 	454 	444 	431 	421 	408 	392 	382 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CAR,P_THAB,UKN	476 	485 	481 	479 	480 	479 	473 	468 	454 	441 	428 	417 	398 	388 	369 	366 	351 	347 	326 	314 	309 	: 	: 	286 	280 
CAR,P_THAB,UKN0	476 	485 	481 	479 	480 	479 	473 	468 	454 	441 	428 	417 	398 	388 	369 	366 	351 	347 	326 	314 	309 	: 	: 	286 	280 
LOR,NR,AT	418594 	409000 	400000 	391000 	380000 	371000 	363000 	353700 	345500 	338800 	333000 	326100 	320000 	331400 	326700 	318700 	309600 	300700 	293000 	290000 	283300 	275600 	269400 	259300 	252600 
